FlareLabel,Prediction,PredictionProbability
0,0,0.3656398057937622
0,0,0.3934675455093384
0,1,0.7776378840208054
0,1,0.8833755031228065
0,1,0.7091725170612335
0,1,0.6560306251049042
0,1,0.7369309961795807
0,1,0.65215003490448
0,1,0.6852430999279022
0,1,0.9806999769061804
0,1,0.9770751744508743
0,1,0.9716031663119793
0,1,0.9657518602907658
0,1,0.9547900669276714
0,1,0.9522135853767395
0,1,0.9389495775103569
0,1,0.937073715031147
0,1,0.9675141796469688
0,1,0.8131294250488281
0,0,0.44505417346954346
0,0,0.3369485139846802
0,0,0.3648817539215088
0,0,0.4107286334037781
0,1,0.5589568316936493
0,1,0.6690507233142853
0,0,0.3536577820777893
0,1,0.9277716353535652
0,1,0.9886715039610863
0,1,0.9544589519500732
0,1,0.8697607070207596
0,1,0.7430922091007233
0,1,0.5003543198108673
0,0,0.3322388529777527
0,0,0.24039357900619507
0,0,0.21290892362594604
0,0,0.20067471265792847
0,1,0.5627874732017517
0,0,0.42110902070999146
0,0,0.34237587451934814
0,0,0.2766229510307312
0,0,0.23691147565841675
0,0,0.21498894691467285
0,0,0.21808713674545288
0,0,0.22084355354309082
0,0,0.2190103530883789
0,0,0.21563029289245605
0,0,0.1885930895805359
0,0,0.2355278730392456
0,0,0.4422624707221985
0,1,0.6806064248085022
0,1,0.8532222360372543
0,1,0.8859571665525436
0,1,0.9030530750751495
0,1,0.9296673238277435
0,1,0.9552918523550034
0,1,0.9654917158186436
0,1,0.9667118154466152
0,1,0.9725717790424824
0,1,0.9718010518699884
0,1,0.9762453511357307
0,1,0.9789882991462946
0,1,0.9820132981985807
0,1,0.985256471671164
0,1,0.9867069013416767
0,1,0.9886991735547781
0,1,0.9882228998467326
0,1,0.9855932826176286
0,1,0.9804403632879257
0,1,0.9763521570712328
0,1,0.964612327516079
0,1,0.9423484914004803
0,1,0.9214586541056633
0,1,0.9196365475654602
0,1,0.9253225028514862
0,1,0.9333948642015457
0,1,0.9047106131911278
0,1,0.896839864552021
0,1,0.8843052238225937
0,1,0.8404661417007446
0,1,0.752510130405426
0,1,0.66717329621315
0,1,0.5083462297916412
0,0,0.31083977222442627
0,0,0.23691320419311523
0,0,0.16277122497558594
0,0,0.059378862380981445
0,0,0.11020976305007935
0,0,0.13617777824401855
0,0,0.21828478574752808
0,0,0.24802428483963013
0,0,0.22087347507476807
0,0,0.18683987855911255
0,0,0.1456698179244995
0,0,0.11774939298629761
0,0,0.18108701705932617
0,0,0.1691584587097168
0,0,0.15516889095306396
0,0,0.35312217473983765
0,0,0.28866046667099
0,0,0.19193053245544434
0,0,0.09062647819519043
0,0,0.1808946132659912
0,0,0.045215487480163574
0,0,0.00192946195602417
0,0,0.0028221607208251953
0,0,0.005260765552520752
0,0,0.010140478610992432
0,0,0.009615659713745117
0,0,0.00998300313949585
0,0,0.010136842727661133
0,0,0.009975194931030273
0,0,0.009524524211883545
0,0,0.0097617506980896
0,0,0.008009493350982666
0,0,0.007210791110992432
0,0,0.007046639919281006
0,0,0.005860090255737305
0,0,0.00537484884262085
0,0,0.00523000955581665
0,0,0.005123913288116455
0,0,0.0054288506507873535
0,0,0.005847275257110596
0,0,0.00595623254776001
0,0,0.006327033042907715
0,0,0.007661581039428711
0,0,0.007802188396453857
0,0,0.00763857364654541
0,0,0.008221745491027832
0,0,0.008470535278320312
0,0,0.008329510688781738
0,0,0.007857561111450195
0,0,0.007145702838897705
0,0,0.006390571594238281
0,0,0.0038715600967407227
0,0,0.003678560256958008
0,0,0.0037226080894470215
0,0,0.0034534335136413574
0,0,0.003616809844970703
0,0,0.0038151144981384277
0,0,0.002827286720275879
0,0,0.002370774745941162
0,0,0.002558588981628418
0,0,0.013990581035614014
0,0,0.013356924057006836
0,0,0.013221502304077148
0,0,0.012578725814819336
0,0,0.011968255043029785
0,0,0.01210087537765503
0,0,0.012112855911254883
0,0,0.011549949645996094
0,0,0.011181175708770752
0,0,0.00940626859664917
0,0,0.0065972208976745605
0,0,0.0010467767715454102
0,0,0.0009059906005859375
0,0,0.0007739067077636719
0,0,0.0007767677307128906
0,0,0.0012812614440917969
0,0,0.02602362632751465
0,0,0.06136804819107056
0,0,0.17841821908950806
0,0,0.24249768257141113
0,0,0.40247416496276855
0,1,0.5051794350147247
0,0,0.4976181387901306
0,0,0.2692543864250183
0,0,0.33781343698501587
0,0,0.20891398191452026
0,0,0.000989079475402832
